序号,贴图名称,对应内容/装备,尺寸(宽×高),英文生成提示词
111,Items/Armor/VoidLordBreastplate.png,归墟胸甲｜物品图标,20x20,"A detailed void lord breastplate (归墟胸甲). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
112,Items/Armor/VoidLordBreastplate_Body.png,归墟胸甲｜装备外观 身｜物品图标,24x20,"A detailed void lord breastplate (归墟胸甲). This is a chest/body armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 24x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
113,Items/Armor/VoidLordLeggings.png,归墟护腿｜物品图标,20x20,"A detailed void lord leggings (归墟护腿). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
114,Items/Armor/VoidLordLeggings_Legs.png,归墟护腿｜装备外观 腿｜物品图标,20x16,"A detailed void lord leggings (归墟护腿). This is a legs/pants armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x16 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
115,Items/Weapons/AbyssGreatsword.png,深渊巨剑｜物品图标,48x48,"A detailed abyss greatsword (深渊巨剑). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 48x48 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
116,Items/Weapons/AbyssCannon.png,深渊炮｜物品图标,44x44,"A detailed abyss cannon (深渊炮). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 44x44 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
117,Items/Weapons/AbyssCannon_Held.png,深渊炮｜手持贴图｜物品图标,44x44,"A detailed abyss cannon (深渊炮). This is the held-in-hand sprite of the weapon/staff, gripped at a natural angle, grip end clearly defined, business end pointing outward with a small energy glow.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 44x44 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
118,Items/Weapons/AbyssTome.png,深渊魔典｜物品图标,40x40,"A detailed abyss spell tome (深渊魔典). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
119,Items/Weapons/AbyssTome_Held.png,深渊魔典｜手持贴图｜物品图标,40x40,"A detailed abyss spell tome (深渊魔典). This is the held-in-hand sprite of the weapon/staff, gripped at a natural angle, grip end clearly defined, business end pointing outward with a small energy glow.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
120,Items/Weapons/AbyssGuardStaff.png,深渊守卫法杖｜物品图标,40x40,"A detailed abyss guardian staff (深渊守卫法杖). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
121,Items/Weapons/AbyssGuardStaff_Held.png,深渊守卫法杖｜手持贴图｜物品图标,40x40,"A detailed abyss guardian staff (深渊守卫法杖). This is the held-in-hand sprite of the weapon/staff, gripped at a natural angle, grip end clearly defined, business end pointing outward with a small energy glow.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
122,Items/Weapons/VoidLordSlash.png,归墟裂斩｜物品图标,52x52,"A detailed void lord slash blade (归墟裂斩). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 52x52 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
123,Items/Weapons/VoidLordPiercer.png,归墟贯穿者｜物品图标,46x46,"A detailed void lord piercer rifle (归墟贯穿者). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 46x46 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
124,Items/Weapons/VoidLordPiercer_Held.png,归墟贯穿者｜手持贴图｜物品图标,46x46,"A detailed void lord piercer rifle (归墟贯穿者). This is the held-in-hand sprite of the weapon/staff, gripped at a natural angle, grip end clearly defined, business end pointing outward with a small energy glow.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 46x46 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
125,Items/Weapons/VoidLordEye.png,归墟之眼｜物品图标,40x40,"A detailed void lord eye staff (归墟之眼). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
126,Items/Weapons/VoidLordEye_Held.png,归墟之眼｜手持贴图｜物品图标,40x40,"A detailed void lord eye staff (归墟之眼). This is the held-in-hand sprite of the weapon/staff, gripped at a natural angle, grip end clearly defined, business end pointing outward with a small energy glow.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
127,Items/Weapons/VoidLordWatcherStaff.png,归墟监视者法杖｜物品图标,40x40,"A detailed void lord watcher staff (归墟监视者法杖). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
128,Items/Weapons/VoidLordWatcherStaff_Held.png,归墟监视者法杖｜手持贴图｜物品图标,40x40,"A detailed void lord watcher staff (归墟监视者法杖). This is the held-in-hand sprite of the weapon/staff, gripped at a natural angle, grip end clearly defined, business end pointing outward with a small energy glow.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
129,Buffs/AbyssGuardBuff.png,深渊守卫｜增益/减益图标,32x32,"A detailed abyss guardian buff icon (深渊守卫). This is a square status-icon: one bold symbolic shape (eye, claw, wisp, orb, flame), simple and readable at small size, subtle inner glow and dark vignette.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 32x32 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
130,Buffs/VoidLordWatcherBuff.png,归墟监视者｜增益/减益图标,32x32,"A detailed void lord watcher buff icon (归墟监视者). This is a square status-icon: one bold symbolic shape (eye, claw, wisp, orb, flame), simple and readable at small size, subtle inner glow and dark vignette.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 32x32 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
131,Buffs/VoidCorrupt.png,虚空腐蚀｜增益/减益图标,32x32,"A detailed void corruption debuff icon (虚空腐蚀). This is a square status-icon: one bold symbolic shape (eye, claw, wisp, orb, flame), simple and readable at small size, subtle inner glow and dark vignette.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 32x32 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
132,Projectiles/AbyssSlashBeam.png,深渊剑气｜弹幕,18x18,"A detailed abyss slash beam (深渊剑气). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 18x18 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
133,Projectiles/VoidLordSlashBeam.png,归墟裂斩剑气｜弹幕,34x34,"A detailed void lord slash beam (归墟裂斩剑气). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 34x34 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
134,Items/Weapons/AbyssWhip.png,深渊鞭｜物品图标,40x40,"A detailed abyss whip (深渊鞭). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
135,Items/Weapons/VoidLordWhip.png,归墟鞭｜物品图标,40x40,"A detailed void lord whip (归墟鞭). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
136,Projectiles/AbyssWhipProjectile.png,深渊鞭｜弹幕,28x28,"A detailed abyss whip (深渊鞭). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
137,Projectiles/VoidLordWhipProjectile.png,归墟鞭｜弹幕,28x28,"A detailed void lord whip (归墟鞭). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
138,Items/Tools/AbyssPickaxe.png,深渊镐｜物品图标,40x40,"A detailed abyss pickaxe (深渊镐). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
139,Items/Tools/AbyssAxe.png,深渊斧｜物品图标,40x40,"A detailed abyss axe (深渊斧). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
140,Items/Tools/AbyssHammer.png,深渊锤｜物品图标,40x40,"A detailed abyss hammer (深渊锤). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
141,Items/Tools/VoidLordPickaxe.png,归墟镐｜物品图标,40x40,"A detailed void lord pickaxe (归墟镐). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
142,Items/Tools/VoidLordAxe.png,归墟斧｜物品图标,40x40,"A detailed void lord axe (归墟斧). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
143,Items/Tools/VoidLordHammer.png,归墟锤｜物品图标,40x40,"A detailed void lord hammer (归墟锤). This is a weapon/tool game icon drawn at a slight diagonal: sharp silhouette, metallic edges, glowing energy core or blade edge, readable shape at a glance, centered.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
144,Items/Armor/AbyssHood.png,深渊兜帽｜物品图标,20x20,"A detailed abyss hood (mage) (深渊兜帽). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
145,Items/Armor/AbyssHood_Head.png,深渊兜帽｜装备外观 头｜物品图标,20x16,"A detailed abyss hood (mage) (深渊兜帽). This is a helmet/head armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x16 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
146,Items/Armor/AbyssMask.png,深渊面具｜物品图标,20x20,"A detailed abyss mask (ranger) (深渊面具). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
